0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Brekinja - 66,Brekinja - 66,Brekinja - 66,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,,,,,1,,1,,,1,,,1,,
4-17.5,,,,2,2,,1,,,,,,,,
5-22.5,1,,,1,3,,,,,,,,,,
6-27.5,1,,,,2,,,,,,,,,,
7-32.5,5,,,,1,,,,,,,,,,
8-37.5,2,,,1,,,,,,,,,,,
9-42.5,1,,,1,,,,,,,,,,,
10-47.5,2,,,1,,,,,,,,,,,
11-52.5,,,,,,,,,,,,,,,
12-57.5,,,,1,,,,,,,,,,,
