0,1,2,3,4,5,6,7,8,9
,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56
,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,
2-7.5,,,,,,,,,
3-12.5,2,,,,,,,,
4-17.5,3,,,,,,1,,
5-22.5,4,,,1,,,4,,
6-27.5,,,,,1,,1,,
7-32.5,1,,,,,,,,
8-37.5,1,,,,,,1,,
9-42.5,,,,,,,,,
10-47.5,,,,,,,,,
11-52.5,,,,,,,,,
12-57.5,,,,,,,,,
13-62.5,,,,,,,,,
14-67.5,,,,,,,,,
15-72.5,,,,,,,,,
16-77.5,,,,,,,,,
17-82.5,1,,,,,,,,
