0,1,2,3,4,5,6,7,8,9,10,11,12
,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični grab - 13,Obični grab - 13,Obični grab - 13,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,Divlja trešnja - 36,Divlja trešnja - 36,Divlja trešnja - 36
,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,
3-12.5,6,,,1,,,2,,,,,
4-17.5,10,,,,,,1,,,,,
5-22.5,3,,,,,,3,,,1,,
6-27.5,1,,,,,,1,,,1,,
7-32.5,1,,,,,,,,,,,
8-37.5,,,,,,,,,,,,
9-42.5,,,,,,,,,,,,
10-47.5,,,,,,,,,,,,
11-52.5,,,,,,,,,,,,
12-57.5,,,,,,,,,,,,
13-62.5,,,,,,,,,,,,
14-67.5,1,,,,,,,,,,,
15-72.5,1,,,,,,,,,,,
