0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,Malolisna lipa - 68,Malolisna lipa - 68,Malolisna lipa - 68,Obični grab - 13,Obični grab - 13,Obični grab - 13,Obična mukinja - 63,Obična mukinja - 63,Obična mukinja - 63,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Crni jasen - 23,Crni jasen - 23,Crni jasen - 23,,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Gorski brijest - 70,Gorski brijest - 70,Gorski brijest - 70,Obična bukva - 20,Obična bukva - 20,Obična bukva - 20
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,,,,
3-12.5,1,,,15,,,,,,,2,,,,,3-12.5,,,,,,,1,,
4-17.5,2,,,6,,,1,,,,1,,1,,,4-17.5,1,,,,,,,,
5-22.5,3,,,5,,,,,,,2,,,,,5-22.5,1,,,1,,,,,
6-27.5,,,,4,,,,,,1,,,,,,6-27.5,1,,,,,,,,
7-32.5,,,,1,,,,,,3,,,,,,7-32.5,1,,,,,,,,
8-37.5,,,,,,,,,,,,,,,,8-37.5,,,,,,,,,
9-42.5,,,,,,,,,,,,,,,,9-42.5,,,,,,,,,
10-47.5,,,,,,,,,,1,,,,,,10-47.5,,,,,,,,,
11-52.5,,,,,,,,,,1,,,,,,11-52.5,,,,,,,,,
